obs,Kidid,bwtkg,Sex,BDAT,Treatment,Date,DIAenroll,DisDay,DIADis,TRT,TRT2,Deadvsdis,Died2wyn,pen,week,Breed,Mentation,bodyposture,resp,bellyfill,fecal,rectal_temp,temp,Total_HS,ExYN10,Exreason,Dead_YN10,Dead_3wYN10,dieage,DFDDie,dieddat,diereason,trt0yn10,Trt0Event,Trt0diar,Trt0pneu,Trt0Age,Trt0dat,Trt0rem,trt1yn10,Trt1Event,Trt1diar,Trt1pneu,Trt1Age,DFDT1,trt1yn10threewk,DFDT1threewk,Trt1dat,Trt1rem,Trt2Event,Trt2Age,Trt2dat,Trt2rem,Trt3Event,Trt3Age,Trt3dat,Trt3rem,Ttr4Even,Trt4Age,Trt4dat,Trt4rem,weight,6wkwt,6wkdat,time,adg
221,502790,3.7,D,6/8/2021,Con,6/15/2021,7,6/15/2021,7,CON7,SEV,,,A1,0,S,0,0,1,0,0,0,102.6,1,0,,0,0,,50,,,0,,0,0,,,,1,BBPNEU,0,1,8,1,1,1,6/16/2021,ZUPREVO,BBDIAR,11,6/19/2021,SULFA,BBPNEU,33,7/11/2021,NUFL BAN,,,,,5.2,12.6,7/28/2021,43,0.172093023
392,502986,3.8,D,6/20/2021,Con,6/29/2021,9,6/30/2021,10,CON14,FOUR,,,B3,0,S,0,0,1,0,1,0,103.4,2,0,,0,0,,50,,,0,,0,0,,,,1,BBPNEU/BBDIAR,1,1,11,1,1,1,7/1/2021,ZUPREVO/SULFA,BBPNEU,24,7/14/2021,NUFL BAN,,,,,,,,,6.2,11.4,8/10/2021,42,0.123809524
436,503030,3.8,D,6/22/2021,Con,6/29/2021,7,6/30/2021,8,CON14,FOUR,,,B4,0,S,0,0,1,0,0,0,103.2,1,0,,0,0,,50,,,0,,0,0,,,,1,BBPNEU/BBDIAR,1,1,9,1,1,1,7/1/2021,ZUPREVO/SULFA,,,,,,,,,,,,,3.4,12.2,8/10/2021,42,0.20952381
151,502719,3.9,D,5/31/2021,Trt,6/8/2021,8,6/9/2021,9,TRT14,FOUR,,,A3,0,S,0,0,1,0,0,1,104.1,2,0,,0,0,,50,,,0,,0,0,,,,1,BBPNEU,0,1,10,1,1,1,6/10/2021,ZUPREVO,BBDIAR,18,6/18/2021,SULFA,,,,,,,,,4.8,12.4,7/21/2021,43,0.176744186
499,503086,3.9,D,6/25/2021,Con,7/6/2021,11,7/7/2021,12,CON14,FOUR,,,B6,0,S,0,0,0,0,1,0,103.5,1,0,,0,0,,50,,,0,,0,0,,,,1,BBPNEU,0,1,13,1,1,1,7/8/2021,ZUPREVO,BBDIAR,15,7/10/2021,SULFA,,,,,,,,,4.4,11.8,8/17/2021,42,0.176190476
78,502620,4,D,5/28/2021,Con,6/8/2021,11,6/9/2021,12,CON14,FOUR,,,A4,0,A,0,0,0,0,0,0,103.3,0,0,,0,0,,50,,,0,,0,0,,,,1,BBPNEU,0,1,13,1,1,1,6/10/2021,ZUPREVO,BBPNEU,45,7/12/2021,NUFL BAN,,,,,,,,,5.4,10,7/21/2021,43,0.106976744
338,502916,4.1,D,6/17/2021,Con,6/22/2021,5,6/23/2021,6,CON7,SEV,,,B2,0,S,0,0,0,0,0,0,102.6,0,0,,0,0,,50,,,0,,0,0,,,,1,BBPNEU,0,1,7,1,1,1,6/24/2021,ZUPREVO,BBDIAR,20,7/7/2021,SULFA,BBPNEU,28,7/15/2021,NUFL BAN,,,,,3.2,6.6,8/3/2021,42,0.080952381
258,502828,4.6,D,6/12/2021,Con,6/22/2021,10,6/23/2021,11,CON14,FOUR,25,1,B,0,N,0,0,0,0,0,0,102.4,0,0,,1,1,24,13,7/6/2021,E.PNEUN/DIARR   ,1,BBPNEU,0,1,8,6/20/2021,ZUPREVO,1,BBDIAR,1,0,13,2,1,2,6/25/2021,SULFA,,,,,,,,,,,,,7.6,,8/3/2021,42,
205,502774,3.2,D,6/5/2021,Con,6/15/2021,10,6/15/2021,10,CON14,FOUR,24,0,A1,0,S,0,0,1,0,0,0,102.8,1,0,,1,0,41,31,7/16/2021,PNEUM           ,1,BBPNEU,0,1,9,6/14/2021,ZUPREVO,1,BBDIAR,1,0,12,2,1,2,6/17/2021,SULFA,BBPNEU,29,7/4/2021,NUFL BAN,,,,,,,,,5,,7/28/2021,43,
50,502588,3.7,D,5/26/2021,Con,6/1/2021,6,6/2/2021,7,CON7,SEV,21,0,A6,0,S,0,0,1,0,0,1,104.6,2,0,,1,0,47,40,7/12/2021,E.DIARR         ,1,BBDIAR,1,0,7,6/2/2021,SULFA,1,BBPNEU,0,1,9,2,1,2,6/4/2021,ZUPREVO,BBDIAR,33,6/28/2021,SULFA,,,,,,,,,4,,7/14/2021,43,
